Time,V(1),V(2),V(3),I(C1),I(L1),I(R1),I(V1)
0.0000779999999999999,2.35351966082666,2.26167259508074,0.0249025434781973,0.00918470657459154,0.00918470657459152,0.00918470657459158,-0.00918470657459158
0.0000789999999999999,2.38119101833969,2.2870827135068,0.0258436265265262,0.00941083048328958,0.00941083048328955,0.00941083048328961,-0.00941083048328961
0.0000799999999999999,2.40876837050857,2.31237449874218,0.0268075652441902,0.00963938717663936,0.00963938717663935,0.00963938717663941,-0.0096393871766394
0.0000809999999999999,2.43625062862666,2.33754700445729,0.0277946014858838,0.00987036241693651,0.00987036241693649,0.00987036241693651,-0.00987036241693651
0.0000819999999999999,2.46363670774145,2.3625992892585,0.0288049756707134,0.0101037418482953,0.0101037418482953,0.0101037418482953,-0.0101037418482953
0.0000829999999999999,2.49092552669745,2.38753041672454,0.0298389267704424,0.0103395109972907,0.0103395109972907,0.0103395109972907,-0.0103395109972907
0.0000839999999999999,2.5181160081788,2.41233945544275,0.030896692297803,0.0105776552736052,0.0105776552736052,0.0105776552736052,-0.0105776552736052
0.0000849999999999999,2.54520707875185,2.43702547904505,0.031978508294871,0.0108181599706802,0.0108181599706802,0.0108181599706802,-0.0108181599706802
0.0000859999999999999,2.57219766890753,2.4615875662438,0.0330846093215082,0.0110610102663725,0.0110610102663724,0.0110610102663725,-0.0110610102663725
0.0000869999999999999,2.59908671310354,2.4860248008674,0.0342152284438697,0.0113061912236148,0.0113061912236148,0.0113061912236148,-0.0113061912236148
0.0000879999999999998,2.62587314980647,2.51033627189565,0.0353705972229779,0.0115536877910821,0.011553687791082,0.0115536877910821,-0.0115536877910821
0.0000889999999999998,2.65255592153367,2.53452107349505,0.036550945703364,0.0118034848038613,0.0118034848038612,0.0118034848038613,-0.0118034848038613
0.0000899999999999998,2.67913397489498,2.55857830505371,0.0377565024017767,0.0120555669841265,0.0120555669841264,0.0120555669841265,-0.0120555669841265
0.0000909999999999998,2.70560626063437,2.58250707121619,0.0389874942959585,0.0123099189418185,0.0123099189418184,0.0123099189418185,-0.0123099189418185
0.0000919999999999998,2.73197173367134,2.60630648191805,0.0402441468134914,0.012566525175329,0.0125665251753289,0.0125665251753289,-0.0125665251753289
0.0000929999999999998,2.75822935314215,2.62997565242026,0.0415266838207103,0.0128253700721889,0.0128253700721888,0.0128253700721889,-0.0128253700721889
0.0000939999999999998,2.78437808244094,2.65351370334331,0.0428353276116865,0.0130864379097621,0.013086437909762,0.0130864379097621,-0.0130864379097621
0.0000949999999999998,2.81041688926065,2.67691976070122,0.0441702988972808,0.0133497128559425,0.0133497128559424,0.0133497128559425,-0.0133497128559425
0.0000959999999999998,2.83634474563378,2.70019295593521,0.0455318167942664,0.0136151789698566,0.0136151789698565,0.0136151789698566,-0.0136151789698566
0.0000969999999999998,2.86216062797295,2.72333242594725,0.0469200988145234,0.0138828202025698,0.0138828202025698,0.0138828202025698,-0.0138828202025698
0.0000979999999999998,2.88786351711133,2.74633731313336,0.0483353608543032,0.0141526203977977,0.0141526203977977,0.0141526203977977,-0.0141526203977977
0.0000989999999999998,2.91345239834288,2.76920676541666,0.0497778171835653,0.0144245632926211,0.014424563292621,0.0144245632926211,-0.0144245632926211
0.0000999999999999998,2.93892626146236,2.79193993628031,0.0512476804353858,0.0146986325182056,0.0146986325182055,0.0146986325182055,-0.0146986325182055
0.000101,2.96428410080529,2.81453598480003,0.0527451615954384,0.0149748116005261,0.0149748116005259,0.0149748116005259,-0.0149748116005259
0.000102,2.98952491528759,2.83699407567664,0.0542704699915479,0.0152530839610945,0.0152530839610945,0.0152530839610945,-0.0152530839610945
0.000103,3.01464770844512,2.85931337926819,0.0558238132833172,0.015533432917693,0.0155334329176929,0.015533432917693,-0.015533432917693
0.000104,3.03965148847302,2.88149307162192,0.0574053974518282,0.0158158416851099,0.01581584168511,0.01581584168511,-0.01581584168511
